color,hex,r,g,b
drab,#828344,130,131,68
rouge,#ab1239,171,18,57
pink/purple,#ef1de7,239,29,231
wheat,#fbdd7e,251,221,126
watermelon,#fd4659,253,70,89
mulberry,#920a4e,146,10,78
auburn,#9a3001,154,48,1
celadon,#befdb7,190,253,183
celery,#c1fd95,193,253,149
strawberry,#fb2943,251,41,67
copper,#b66325,182,99,37
ivory,#ffffcb,255,255,203
adobe,#bd6c48,189,108,72
barney,#ac1db8,172,29,184
ocre,#c69c04,198,156,4
maize,#f4d054,244,208,84
sandstone,#c9ae74,201,174,116
camel,#c69f59,198,159,89
marine,#042e60,4,46,96
sepia,#985e2b,152,94,43
coffee,#a6814c,166,129,76
mocha,#9d7651,157,118,81
ecru,#feffca,254,255,202
purpleish,#98568d,152,86,141
cranberry,#9e003a,158,0,58
melon,#ff7855,255,120,85
silver,#c5c9c7,197,201,199
amber,#feb308,254,179,8
vermillion,#f4320c,244,50,12
russet,#a13905,161,57,5
pine,#2b5d34,43,93,52
bluish,#2976bb,41,118,187
bronze,#a87900,168,121,0
shit,#7f5f00,127,95,0
dirt,#8a6e45,138,110,69
pistachio,#c0fa8b,192,250,139
yellowish,#faee66,250,238,102
bordeaux,#7b002c,123,0,44
ocean,#017b92,1,123,146
marigold,#fcc006,252,192,6
steel,#738595,115,133,149
blush,#f29e8e,242,158,142
lemon,#fdff52,253,255,82
cerise,#de0c62,222,12,98
apricot,#ffb16d,255,177,109
blurple,#5539cc,85,57,204
bluegreen,#017a79,1,122,121
forest,#0b5509,11,85,9
ultramarine,#2000b1,32,0,177
purplish,#94568c,148,86,140
reddish,#c44240,196,66,64
avocado,#90b134,144,177,52
umber,#b26400,178,100,0
poop,#7f5e00,127,94,0
eggshell,#ffffd4,255,255,212
denim,#3b638c,59,99,140
evergreen,#05472a,5,71,42
aubergine,#3d0734,61,7,52
mahogany,#4a0100,74,1,0
mud,#735c12,115,92,18
brownish,#9c6d57,156,109,87
clay,#b66a50,182,106,80
jade,#1fa774,31,167,116
emerald,#01a049,1,160,73
sky,#82cafc,130,202,252
orchid,#c875c4,200,117,196
raspberry,#b00149,176,1,73
tangerine,#ff9408,255,148,8
pumpkin,#e17701,225,119,1
charcoal,#343837,52,56,55
cornflower,#6a79f7,106,121,247
chocolate,#3d1c02,61,28,2
scarlet,#be0119,190,1,25
sienna,#a9561e,169,86,30
terracotta,#ca6641,202,102,65
grass,#5cac2d,92,172,45
moss,#769958,118,153,88
vomit,#a2a415,162,164,21
pinkish,#d46a7e,212,106,126
cobalt,#1e488f,30,72,143
wine,#80013f,128,1,63
azure,#069af3,6,154,243
grape,#6c3461,108,52,97
greenish,#40a368,64,163,104
coral,#fc5a50,252,90,80
cream,#ffffc2,255,255,194
brick,#a03623,160,54,35
sage,#87ae73,135,174,115
white,#ffffff,255,255,255
eggplant,#380835,56,8,53
puke,#a5a502,165,165,2
fuchsia,#ed0dd9,237,13,217
crimson,#8c000f,140,0,15
ochre,#bf9005,191,144,5
cerulean,#0485d1,4,133,209
rust,#a83c09,168,60,9
slate,#516572,81,101,114
goldenrod,#fac205,250,194,5
seafoam,#80f9ad,128,249,173
puce,#a57e52,165,126,82
sand,#e2ca76,226,202,118
mint,#9ffeb0,159,254,176
chartreuse,#c1f80a,193,248,10
taupe,#b9a281,185,162,129
khaki,#aaa662,170,166,98
burgundy,#610023,97,0,35
plum,#580f41,88,15,65
gold,#dbb40c,219,180,12
navy,#01153e,1,21,62
aquamarine,#04d8b2,4,216,178
rose,#cf6275,207,98,117
mustard,#ceb301,206,179,1
indigo,#380282,56,2,130
lime,#aaff32,170,255,50
periwinkle,#8e82fe,142,130,254
peach,#ffb07c,255,176,124
black,#000000,0,0,0
lilac,#cea2fd,206,162,253
beige,#e6daa6,230,218,166
salmon,#ff796c,255,121,108
olive,#6e750e,110,117,14
maroon,#650021,101,0,33
mauve,#ae7181,174,113,129
aqua,#13eac9,19,234,201
cyan,#00ffff,0,255,255
tan,#d1b26f,209,178,111
lavender,#c79fef,199,159,239
turquoise,#06c2ac,6,194,172
violet,#9a0eea,154,14,234
grey,#929591,146,149,145
yellow,#ffff14,255,255,20
magenta,#c20078,194,0,120
orange,#f97306,249,115,6
teal,#029386,2,147,134
red,#e50000,229,0,0
brown,#653700,101,55,0
pink,#ff81c0,255,129,192
blue,#0343df,3,67,223
green,#15b01a,21,176,26
purple,#7e1e9c,126,30,156
